micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,samples_precision,samples_recall,samples_f1
0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8846153846153846,0.8846153846153846,0.8695652173913044,0.899665551839465,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043
0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8846153846153846,0.8846153846153846,0.8695652173913044,0.899665551839465,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043
0.7391304347826086,0.7391304347826086,0.7391304347826085,0.7424242424242424,0.7461538461538462,0.7386363636363636,0.7523056653491437,0.7391304347826086,0.7401185770750989,0.7391304347826086,0.7391304347826086,0.7391304347826086
0.782608695652174,0.782608695652174,0.782608695652174,0.773076923076923,0.7817460317460317,0.7758284600389862,0.7889632107023412,0.782608695652174,0.7843037545554707,0.782608695652174,0.782608695652174,0.782608695652174
0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9230769230769231,0.9166666666666667,0.9128787878787878,0.9264214046822742,0.9130434782608695,0.9127140974967062,0.9130434782608695,0.9130434782608695,0.9130434782608695
0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9375,0.96875,0.9505376344086022,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.9565217391304348,0.9565217391304348,0.9565217391304348
0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8295454545454546,0.8346153846153846,0.8257575757575757,0.8399209486166008,0.8260869565217391,0.8267457180500659,0.8260869565217391,0.8260869565217391,0.8260869565217391
0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8712121212121212,0.8712121212121212,0.8695652173913043,0.8728590250329382,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043
0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8674242424242424,0.8730769230769231,0.8685714285714285,0.8738471673254281,0.8695652173913043,0.8700621118012422,0.8695652173913043,0.8695652173913043,0.8695652173913043
0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8257575757575758,0.8257575757575758,0.8257575757575758,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391
0.6818181818181818,0.6818181818181818,0.6818181818181818,0.675,0.6794871794871795,0.6757894736842105,0.6886363636363636,0.6818181818181818,0.6838277511961721,0.6818181818181818,0.6818181818181818,0.6818181818181818
0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7564102564102564,0.7678571428571428,0.7603485838779956,0.7808857808857809,0.7727272727272727,0.775203010497128,0.7727272727272727,0.7727272727272727,0.7727272727272727
0.8181818181818182,0.8181818181818182,0.8181818181818182,0.811965811965812,0.811965811965812,0.811965811965812,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6696428571428572,0.6623931623931625,0.664488017429194,0.6777597402597403,0.6818181818181818,0.6783521489403842,0.6818181818181818,0.6818181818181818,0.6818181818181818
0.8181818181818182,0.8181818181818182,0.8181818181818182,0.825,0.825,0.8181818181818182,0.8318181818181819,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7393162393162394,0.7916666666666667,0.7471264367816093,0.8228438228438228,0.7727272727272727,0.7836990595611284,0.7727272727272727,0.7727272727272727,0.7727272727272727
0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7946428571428572,0.7684210526315789,0.8099173553719008,0.7727272727272727,0.7770334928229665,0.7727272727272727,0.7727272727272727,0.7727272727272727
0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7410714285714286,0.7571428571428571,0.7471264367816093,0.7832792207792206,0.7727272727272727,0.7763845350052246,0.7727272727272727,0.7727272727272727,0.7727272727272727
0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8504273504273505,0.8660714285714286,0.8562091503267975,0.8702408702408703,0.8636363636363636,0.8651218062982768,0.8636363636363636,0.8636363636363636,0.8636363636363636
