date,negative,neutral,positive,compound,daily_count,original_date,original_open,original_high,original_low,original_close,original_adj close,original_volume,lagged_price_date,lagged_open,lagged_high,lagged_low,lagged_close,lagged_adj close,lagged_btc_volume,price_change,price_direction
2018-01-04,0.0221717709720372,0.9287589880159788,0.0490905459387483,0.0680881491344873,751,2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,15599.2001953125,21783199744,2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,13405.7998046875,16534099968,2193.400390625,negative
2018-01-05,0.0206212952799121,0.9364346871569704,0.0429582875960483,0.0569717892425905,911,2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,17429.5,23840899072,2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375,13980.599609375,12065699840,3448.900390625,negative
2018-01-06,0.0283222222222222,0.9265444444444444,0.0451604938271604,0.0476364197530864,810,2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,17527.0,18314600448,2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,14360.2001953125,12763599872,3166.7998046875,negative
2018-01-07,0.0268351648351648,0.9316056166056166,0.0415824175824175,0.0452713064713064,819,2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,16477.599609375,15866000384,2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,13772.0,11084099584,2705.599609375,negative
2018-01-08,0.0265971459934138,0.9279967069154774,0.045430296377607,0.0609525795828759,911,2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,15170.099609375,18413899776,2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,13819.7998046875,12750799872,1350.2998046875,negative
2018-01-09,0.0264103448275862,0.9352505747126436,0.0383597701149425,0.0306791954022988,870,2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,14595.400390625,16659999744,2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,11490.5,18853799936,3104.900390625,negative
2018-01-10,0.0263610785463071,0.929177022274326,0.0444876905041031,0.0442833528722157,853,2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,14973.2998046875,18500800512,2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,11188.599609375,18830600192,3784.7001953125,negative
2018-01-11,0.0298531889290012,0.9192033694344164,0.0509687123947051,0.0687985559566787,831,2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,13405.7998046875,16534099968,2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,11474.900390625,15020399616,1930.8994140625,negative
2018-01-12,0.0220629750271444,0.9286981541802388,0.0492649294245385,0.0769698154180238,921,2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375,13980.599609375,12065699840,2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,11607.400390625,10740400128,2373.19921875,negative
2018-01-13,0.0172984901277584,0.9412671312427412,0.0414343786295005,0.064061556329849,861,2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,14360.2001953125,12763599872,2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,12899.2001953125,11801700352,1461.0,negative
2018-01-14,0.0145890767230169,0.9522665799739922,0.033149544863459,0.0504244473342002,769,2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,13772.0,11084099584,2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,11600.099609375,9935179776,2171.900390625,negative
2018-01-15,0.0137122302158273,0.9540246659815004,0.032273381294964,0.0511021582733813,973,2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,13819.7998046875,12750799872,2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10931.400390625,10537400320,2888.3994140625,negative
2018-01-16,0.0228938938938938,0.93284984984985,0.0442602602602602,0.0606698698698698,999,2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,11490.5,18853799936,2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,10868.400390625,9660609536,622.099609375,negative
2018-01-17,0.0218156638013371,0.9348462273161412,0.0433562559694364,0.0623571155682903,1047,2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,11188.599609375,18830600192,2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,11359.400390625,9940989952,170.80078125,positive
2018-01-18,0.017817703768624,0.9435977212971078,0.0386056091148115,0.0640553900087642,1141,2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,11474.900390625,15020399616,2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,11259.400390625,8873169920,215.5,negative
2018-01-19,0.0149691991786447,0.9456129363449692,0.0394332648870636,0.072067864476386,974,2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,11607.400390625,10740400128,2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,11171.400390625,9746199552,436.0,negative
2018-01-20,0.0123089519650655,0.9472336244541484,0.0404606986899563,0.0769020742358078,916,2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,12899.2001953125,11801700352,2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,11440.7001953125,7583269888,1458.5,negative
2018-01-21,0.0142033492822966,0.9418229665071772,0.0439856459330143,0.0742076555023923,836,2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,11600.099609375,9935179776,2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,11786.2998046875,8350360064,186.2001953125,positive
2018-01-22,0.0137698072805139,0.943167023554604,0.0430770877944325,0.0767518201284796,934,2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10931.400390625,10537400320,2018-01-29,11755.5,11875.599609375,11179.2001953125,11296.400390625,11296.400390625,7107359744,365.0,positive
2018-01-23,0.014488,0.937352,0.04816,0.0855065142857142,875,2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,10868.400390625,9660609536,2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,10106.2998046875,8637859840,762.1005859375,negative
2018-01-24,0.0168445475638051,0.9429953596287702,0.0401647331786542,0.0666859628770301,862,2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,11359.400390625,9940989952,2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,10221.099609375,8041160192,1138.30078125,negative
2018-01-25,0.0123963190184049,0.940714110429448,0.0469018404907975,0.0850907975460122,815,2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,11259.400390625,8873169920,2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9170.5400390625,9959400448,2088.8603515625,negative
2018-01-26,0.0198818283166109,0.9343790412486064,0.0457580824972129,0.0648122630992196,897,2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,11171.400390625,9746199552,2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,8830.75,12726899712,2340.650390625,negative
2018-01-27,0.0141772300469483,0.9397147887323944,0.046112676056338,0.0815206572769953,852,2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,11440.7001953125,7583269888,2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,9174.91015625,7263790080,2265.7900390625,negative
2018-01-28,0.0140090191657271,0.9408218714768884,0.0451679819616685,0.0739719278466741,887,2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,11786.2998046875,8350360064,2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,8277.009765625,7073549824,3509.2900390625,negative
2018-01-29,0.0175233949945593,0.9391207834602828,0.0433677910772578,0.0731545157780195,919,2018-01-29,11755.5,11875.599609375,11179.2001953125,11296.400390625,11296.400390625,7107359744,2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,6955.27001953125,9285289984,4341.13037109375,negative
2018-01-30,0.0200980891719745,0.9364522292993632,0.0434573248407643,0.0659890445859872,785,2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,10106.2998046875,8637859840,2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,7754.0,13999800320,2352.2998046875,negative
2018-01-31,0.0151953428201811,0.940712807244502,0.0440879689521345,0.0772693402328589,773,2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,10221.099609375,8041160192,2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,7621.2998046875,9169280000,2599.7998046875,negative
2018-02-01,0.0125980861244019,0.94488995215311,0.0425143540669856,0.0807913875598086,836,2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9170.5400390625,9959400448,2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,8265.58984375,9346750464,904.9501953125,negative
2018-02-02,0.016976054732041,0.9371071835803876,0.0459201824401368,0.0799823261117445,877,2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,8830.75,12726899712,2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,8736.98046875,6784820224,93.76953125,negative
2018-02-03,0.0116786666666666,0.9417066666666666,0.0466106666666666,0.0955772,750,2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,9174.91015625,7263790080,2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,8621.900390625,7780960256,553.009765625,negative
2018-02-04,0.0126133162612035,0.9407183098591548,0.0466683738796414,0.0797842509603073,781,2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,8277.009765625,7073549824,2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,8129.97021484375,6122189824,147.03955078125,negative
2018-02-05,0.0594296654207311,0.8599096544808096,0.0806547543075941,0.0611517731789588,10969,2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,6955.27001953125,9285289984,2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,8926.5703125,6256439808,1971.30029296875,positive
2018-02-06,0.0507497787769354,0.8659749599406883,0.0832500059790017,0.0927463193265252,83626,2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,7754.0,13999800320,2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,8598.3095703125,5696719872,844.3095703125,positive
2018-02-07,0.0162602100350058,0.9398716452742124,0.0438681446907818,0.0689707117852975,857,2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,7621.2998046875,9169280000,2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,9494.6298828125,7909819904,1873.330078125,positive
